HMM_id | Input_annotations | Input_taxa_names | Input_databases | Input_geneIds | Input_taxa_ids | Input_record_headers
281 | beta-lactamase | uncultured.bacterium.BLR17 | resFinder.2.1 | ACH58994.1_desc-LRA-17 | 238 | db-CARD.1.1.3_geneId-ACH58994.1_desc-LRA-17_annot-ARO3002512_taxaName-uncultured.bacterium.BLR17_taxaId-506517
90 | beta-lactamase | Escherichia.coli | CARD.1.1.3 | WP_027662423.1_desc-BlaEC.family.class.C.beta-lactamase | 562 | db-resFinderFG.1.0_geneId-WP_027662423.1_desc-BlaEC.family.class.C.beta-lactamase_annot-beta_lactamase_taxaName-Escherichia.coli_taxaId-562
335 | beta-lactamase | Klebsiella.pneumoniae | CARD.1.1.3 | AGE83081.2_desc-VIM-38 | 573 | db-CARD.1.1.3_geneId-AGE83081.2_desc-VIM-38_annot-ARO3002308_taxaName-Pseudomonas.aeruginosa_taxaId-287
117 | tet_efflux | Acinetobacter.gerneri.MTCC.9824 | resFinderFG.1.0 | EPR81956.1_desc-Tetracycline.resistance.protein | 29491 | db-resFinderFG.1.0_geneId-EPR81956.1_desc-Tetracycline.resistance.protein_annot-tet_efflux_taxaName-Acinetobacter.gerneri.MTCC.9824_taxaId-1330037
431 | dfr | Acidobacteria.bacterium.OLB17 | resFinderFG.1.0 | NA_desc-NA | 1617423 | db-resFinderFG.1.0_geneId-NA_desc-NA_annot-dfr_taxaName-NA_taxaId-NA
189 | vancomycin | Enterococcus.faecium | resFinder.2.1 | AAA65956.1_desc-vanA | 1352 | db-CARD.1.1.3_geneId-AAA65956.1_desc-vanA_annot-ARO3000010_taxaName-Enterococcus.faecium_taxaId-1352
375 | beta-lactamase | Chryseobacterium.indologenes | resFinder.2.1 | WP_063860852_desc-MUS-2.beta-lactamase | 253 | db-CARD.1.1.3_geneId-WP_063860852_desc-MUS-2.beta-lactamase_annot-ARO3003842_taxaName-Myroides.odoratimimus_taxaId-76832
232 | beta_lactamase | Escherichia.coli | resFinderFG.1.0 | AAD37403.1_desc-class.A.beta-lactamase.precursor.TLA-1.plasmid. | 562 | db-resFinderFG.1.0_geneId-AAD37403.1_desc-class.A.beta-lactamase.precursor.TLA-1.plasmid._annot-beta_lactamase_taxaName-Escherichia.coli_taxaId-562
118 | ARO3000207 | Stenotrophomonas.maltophilia | CARD.1.1.3 | YP_005225489.1_desc-acrA | 40324 | db-CARD.1.1.3_geneId-YP_005225489.1_desc-acrA_annot-ARO3000207_taxaName-Klebsiella.pneumoniae.subsp.pneumoniae.HS11286_taxaId-1125630
445 | dfr | Ruminococcus.sp.CAG.177 | resFinderFG.1.0 | CDB42837.1_desc-dihydrofolate.reductase.region | 1262952 | db-resFinderFG.1.0_geneId-CDB42837.1_desc-dihydrofolate.reductase.region_annot-dfr_taxaName-Ruminococcus.sp.CAG.177_taxaId-1262952
546 | trimethoprim | uncultured.bacterium | resFinder.2.1 | ADO00942.1_desc-dfrB6 | 77133 | db-CARD.1.1.3_geneId-ADO00942.1_desc-dfrB6_annot-ARO3003023_taxaName-uncultured.bacterium_taxaId-77133
182 | beta_lactamase | Gemmatirosa.kalamazoonesis | resFinderFG.1.0 | AHG88625.1_desc-esterase | 861299 | db-resFinderFG.1.0_geneId-AHG88625.1_desc-esterase_annot-beta_lactamase_taxaName-Gemmatirosa.kalamazoonesis_taxaId-861299
398 | dfr | Bifidobacterium.longum | resFinderFG.1.0 | WP_004219905.1_desc-diacylglycerol.kinase | 216816 | db-resFinderFG.1.0_geneId-WP_004219905.1_desc-diacylglycerol.kinase_annot-dfr_taxaName-Bifidobacterium.pseudocatenulatum_taxaId-28026
86 | aminoglycoside | Pseudomonas.aeruginosa | CARD.1.1.3 | DQ303918_desc-aac.6.Ib-cr_1 | 287 | db-resFinder.2.1_geneId-DQ303918_desc-aac.6.Ib-cr_1_annot-aminoglycoside.quinolone_taxaName-NA_taxaId-562
226 | beta-lactamase | Enterobacter.cloacae | CARD.1.1.3 | BAP34782.1_desc-CTX-M-151 | 550 | db-CARD.1.1.3_geneId-BAP34782.1_desc-CTX-M-151_annot-ARO3002008_taxaName-Salmonella.enterica_taxaId-28901
259 | ARO3003072 | Bacillus.cereus.VD156 | CARD.1.1.3 | EEL41021.1_desc-Bacillus.intrinsic.mph | 1053239 | db-CARD.1.1.3_geneId-EEL41021.1_desc-Bacillus.intrinsic.mph_annot-ARO3003072_taxaName-Bacillus.cereus.Rock3-29_taxaId-526984
102 | efflux_pump | Escherichia.coli | resFinderFG.1.0 | WP_013362813.1_desc-chloramphenicol.efflux.pump | 562 | db-resFinderFG.1.0_geneId-WP_013362813.1_desc-chloramphenicol.efflux.pump_annot-efflux_pump_taxaName-Escherichia.coli_taxaId-562
266 | beta_lactamase | Methylocaldum.szegediense | resFinderFG.1.0 | WP_051331933.1_desc-class.D.beta-lactamase | 73780 | db-resFinderFG.1.0_geneId-WP_051331933.1_desc-class.D.beta-lactamase_annot-beta_lactamase_taxaName-Methylocaldum.szegediense_taxaId-73780
162 | macrolide | Streptomyces.lincolnensis | resFinder.2.1 | CAA44667.1_desc-ErmU | 1915 | db-CARD.1.1.3_geneId-CAA44667.1_desc-ErmU_annot-ARO3001305_taxaName-Streptomyces.lincolnensis_taxaId-1915
396 | macrolide | Enterococcus.faecium | resFinder.2.1 | AAF63432_desc-vatF | 1352 | db-CARD.1.1.3_geneId-AAF63432_desc-vatF_annot-ARO3003744_taxaName-Yersinia.enterocolitica_taxaId-630
423 | dfr | Pedosphaera.parvula | resFinderFG.1.0 | WP_007416017.1_desc-dihydrofolate.reductase | 1032527 | db-resFinderFG.1.0_geneId-WP_007416017.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Pedosphaera.parvula_taxaId-1032527
174 | van_ligase | Hungatella.hathewayi | resFinderFG.1.0 | WP_006782295.1_desc-D-alanine--D-alanine.ligase.A | 154046 | db-resFinderFG.1.0_geneId-WP_006782295.1_desc-D-alanine--D-alanine.ligase.A_annot-van_ligase_taxaName-Hungatella.hathewayi_taxaId-154046
402 | quinolone | Klebsiella.pneumoniae | CARD.1.1.3 | AHF20043.1_desc-QnrS9 | 573 | db-CARD.1.1.3_geneId-AHF20043.1_desc-QnrS9_annot-ARO3002798_taxaName-Klebsiella.pneumoniae_taxaId-573
217 | beta-lactamase | Bacteroides.ovatus.SD.CMC.3f | CARD.1.1.3 | EFF54804.1_desc-beta-lactamase | 823 | db-resFinderFG.1.0_geneId-EFF54804.1_desc-beta-lactamase_annot-beta_lactamase_taxaName-Bacteroides.ovatus.SD.CMC.3f_taxaId-702443
262 | beta-lactamase | uncultured.bacterium.BLR7 | CARD.1.1.3 | NA_desc-NA | 238 | db-resFinderFG.1.0_geneId-NA_desc-NA_annot-beta_lactamase_taxaName-NA_taxaId-NA
154 | vancomycin | Enterococcus.faecalis | resFinder.2.1 | ABA71728.1_desc-vanSG | 1352 | db-CARD.1.1.3_geneId-ABA71728.1_desc-vanSG_annot-ARO3002937_taxaName-Enterococcus.faecalis_taxaId-1351
158 | tetX | Bacteroidales | resFinderFG.1.0 | WP_005783159.1_desc-MULTISPECIES.TetX.family.tetracycline.inactivation.enzyme | 171549 | db-resFinderFG.1.0_geneId-WP_005783159.1_desc-MULTISPECIES.TetX.family.tetracycline.inactivation.enzyme_annot-tetX_taxaName-Bacteroidales_taxaId-171549
26 | tet_protection | Actinomyces.sp.oral.taxon.172 | resFinderFG.1.0 | WP_021612625.1_desc-TetM.TetW.TetO.TetS.family.tetracycline.resistance.ribosomal.protection.protein | 712118 | db-resFinderFG.1.0_geneId-WP_021612625.1_desc-TetM.TetW.TetO.TetS.family.tetracycline.resistance.ribosomal.protection.protein_annot-tet_protection_taxaName-Actinomyces.sp.oral.taxon.172_taxaId-712118
245 | sulphonamide | Vibrio.fluvialis | resFinder.2.1 | AEJ33969.1_desc-sul1 | 562 | db-CARD.1.1.3_geneId-AEJ33969.1_desc-sul1_annot-ARO3000410_taxaName-Vibrio.fluvialis_taxaId-676
22 | vancomycin | Enterococcus.faecalis | resFinder.2.1 | ABX54689.1_desc-vanTmL | 1351 | db-CARD.1.1.3_geneId-ABX54689.1_desc-vanTmL_annot-ARO3002973_taxaName-Enterococcus.faecalis_taxaId-1351
414 | dfr | Sandaracinus.amylolyticus | resFinderFG.1.0 | WP_053231336.1_desc-hypothetical.protein | 927083 | db-resFinderFG.1.0_geneId-WP_053231336.1_desc-hypothetical.protein_annot-dfr_taxaName-Sandaracinus.amylolyticus_taxaId-927083
215 | beta_lactamase | Pseudomonas.aeruginosa | resFinderFG.1.0 | AAK55330.1_desc-OXA-118 | 287 | db-CARD.1.1.3_geneId-AAK55330.1_desc-OXA-118_annot-ARO3001768_taxaName-Burkholderia.cepacia_taxaId-292
145 | tetX | Legionella.massiliensis | resFinderFG.1.0 | WP_044012519.1_desc-FAD-binding.protein | 1034943 | db-resFinderFG.1.0_geneId-WP_044012519.1_desc-FAD-binding.protein_annot-tetX_taxaName-Legionella.massiliensis_taxaId-1034943
288 | beta-lactamase | Pseudomonas.aeruginosa | CARD.1.1.3 | AIA58911.1_desc-OXA-1 | 287 | db-CARD.1.1.3_geneId-AIA58911.1_desc-OXA-1_annot-ARO3001396_taxaName-Pseudomonas.aeruginosa_taxaId-287
238 | beta_lactamase | Klebsiella.pneumoniae | resFinderFG.1.0 | WP_051331933.1_desc-class.D.beta-lactamase | 573 | db-resFinderFG.1.0_geneId-WP_051331933.1_desc-class.D.beta-lactamase_annot-beta_lactamase_taxaName-Methylocaldum.szegediense_taxaId-73780
280 | beta-lactamase | Bacteroides.fragilis | resFinder.2.1 | AAA22904.1_desc-CcrA.beta-lactamase | 817 | db-CARD.1.1.3_geneId-AAA22904.1_desc-CcrA.beta-lactamase_annot-ARO3000578_taxaName-Bacteroides.fragilis_taxaId-817
367 | beta-lactamase | Aeromonas.hydrophila | resFinder.2.1 | CAD69003.1_desc-imiH | 644 | db-CARD.1.1.3_geneId-CAD69003.1_desc-imiH_annot-ARO3003094_taxaName-Aeromonas.hydrophila_taxaId-644
233 | beta_lactamase | Bacteroides | resFinderFG.1.0 | WP_005827792.1_desc-MULTISPECIES.CblA.family.class.A.beta-lactamase | 816 | db-resFinderFG.1.0_geneId-WP_005827792.1_desc-MULTISPECIES.CblA.family.class.A.beta-lactamase_annot-beta_lactamase_taxaName-Bacteroides_taxaId-816
444 | dfr | Microlunatus.phosphovorus.NM-1 | resFinderFG.1.0 | BAK36891.1_desc-dihydrofolate.reductase | 1032480 | db-resFinderFG.1.0_geneId-BAK36891.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Microlunatus.phosphovorus.NM-1_taxaId-1032480
18 | tet_protection | Streptococcus.suis | resFinderFG.1.0 | WP_022864100.1_desc-TetM.TetW.TetO.TetS.family.tetracycline.resistance.ribosomal.protection.protein | 1307 | db-resFinderFG.1.0_geneId-WP_022864100.1_desc-TetM.TetW.TetO.TetS.family.tetracycline.resistance.ribosomal.protection.protein_annot-tet_protection_taxaName-Varibaculum.cambriense_taxaId-184870
136 | beta_lactamase | Pedosphaera.parvula | resFinderFG.1.0 | WP_040547052.1_desc-subclass.B3.metallo-beta-lactamase | 1032527 | db-resFinderFG.1.0_geneId-WP_040547052.1_desc-subclass.B3.metallo-beta-lactamase_annot-beta_lactamase_taxaName-Pedosphaera.parvula_taxaId-1032527
275 | beta_lactamase | Bradyrhizobium.jicamae | resFinderFG.1.0 | WP_057833623.1_desc-subclass.B3.metallo-beta-lactamase | 280332 | db-resFinderFG.1.0_geneId-WP_057833623.1_desc-subclass.B3.metallo-beta-lactamase_annot-beta_lactamase_taxaName-Bradyrhizobium.jicamae_taxaId-280332
313 | beta-lactamase | Acinetobacter.baumannii | CARD.1.1.3 | WP_057089822.1_desc-MULTISPECIES.OXA-213.family.carbapenem-hydrolyzing.class.D.beta-lactamase.OXA-417 | 470 | db-resFinderFG.1.0_geneId-WP_057089822.1_desc-MULTISPECIES.OXA-213.family.carbapenem-hydrolyzing.class.D.beta-lactamase.OXA-417_annot-beta_lactamase_taxaName-Acinetobacter.calcoaceticus.baumannii.complex_taxaId-909768
430 | dfr | Parcubacteria.group.bacterium.GW2011_GWD2_43_10 | resFinderFG.1.0 | NA_desc-NA | 1618945 | db-resFinderFG.1.0_geneId-NA_desc-NA_annot-dfr_taxaName-NA_taxaId-NA
4 | ARO3000801 | Pseudomonas.aeruginosa.PAO1 | CARD.1.1.3 | AAB58161.1_desc-ceoB | 208964 | db-CARD.1.1.3_geneId-AAB58161.1_desc-ceoB_annot-ARO3003010_taxaName-Burkholderia.cepacia_taxaId-292
207 | beta_lactamase | uncultured.bacterium.BLR5 | resFinderFG.1.0 | NA_desc-NA | 506522 | db-resFinderFG.1.0_geneId-NA_desc-NA_annot-beta_lactamase_taxaName-NA_taxaId-NA
142 | dfr | Bacteroidetes.bacterium.OLB12 | resFinderFG.1.0 | KXK23951.1_desc-dihydrofolate.reductase | 1619897 | db-resFinderFG.1.0_geneId-KXK23951.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Bacteroidetes.bacterium.OLB12_taxaId-1619897
114 | 16S_rRNA_methyltransferase | Pseudomonas.aeruginosa | resFinderFG.1.0 | WP_019726361.1_desc-16S.rRNA.guanine.1405.-N.7.-methyltransferase.RmtD1 | 287 | db-resFinderFG.1.0_geneId-WP_019726361.1_desc-16S.rRNA.guanine.1405.-N.7.-methyltransferase.RmtD1_annot-16S_rRNA_methyltransferase_taxaName-Pseudomonas.aeruginosa_taxaId-287
449 | dfr | Dialister.invisus.CAG.218 | resFinderFG.1.0 | CCZ53766.1_desc-dihydrofolate.reductase | 1263072 | db-resFinderFG.1.0_geneId-CCZ53766.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Dialister.invisus.CAG.218_taxaId-1263072
105 | tetracycline | Corynebacterium.glutamicum | resFinder.2.1 | WP_013279371.1_desc-tetracycline.efflux.MFS.transporter.Tet.A. | 562 | db-resFinderFG.1.0_geneId-WP_013279371.1_desc-tetracycline.efflux.MFS.transporter.Tet.A._annot-tet_efflux_taxaName-Escherichia.coli_taxaId-562
258 | vancomycin | Enterococcus.faecium | resFinder.2.1 | ACL82959.1_desc-vanYM | 1352 | db-CARD.1.1.3_geneId-ACL82959.1_desc-vanYM_annot-ARO3002961_taxaName-Enterococcus.faecium_taxaId-1352
527 | aminoglycoside | Acinetobacter.genomosp.15 | CARD.1.1.3 | AAD03491.1_desc-AAC.6.-Is | 70346 | db-CARD.1.1.3_geneId-AAD03491.1_desc-AAC.6.-Is_annot-ARO3002562_taxaName-Acinetobacter.genomosp.15_taxaId-70346
468 | dfr | Candidatus.Levybacteria.bacterium.GW2011_GWC1_40_19 | resFinderFG.1.0 | KKR51300.1_desc-dihydrofolate.reductase | 1618466 | db-resFinderFG.1.0_geneId-KKR51300.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Candidatus.Levybacteria.bacterium.GW2011_GWC1_40_19_taxaId-1618466
260 | aminoglycoside | Exiguobacterium.sp.S3-2 | resFinder.2.1 | YP_008997281.1_desc-ANT.6.-Ia | 197 | db-CARD.1.1.3_geneId-YP_008997281.1_desc-ANT.6.-Ia_annot-ARO3002626_taxaName-Exiguobacterium.sp.S3-2_taxaId-1389960
11 | oxazolidinone.phenicol | NA | resFinder.2.1 | KP399637_desc-optrA_1 | 1351 | db-resFinder.2.1_geneId-KP399637_desc-optrA_1_annot-oxazolidinone.phenicol_taxaName-NA_taxaId-1351
