HMM_id | Annotation | Input_record_headers
186 | aafC | VFG000853.gb.AAD27810.aafC.aggregative.adherence.fimbria.II.usher.protein.AafC.AAFs.VF0214.Escherichia.coli.str.042.:1,VFG000944.gb.AAK16477.draC.usher.protein.DraC.Dr.adhesins.VF0223.Escherichia.coli.O75.K5.H.str.IH11128.:1,VFG042425.gb.CAW30799.afaC.I.usher.AfaC.Afimbrial.adhesin.AFA.I.mannose.resistant.adhesin.AI010.Escherichia.coli.O25b.H4.str.FV9863.:1,VFG042432.gb.CAA54117.afaC.III.AFA.III.usher.protein.Afimbrial.adhesin.AFA.III.AI012.Escherichia.coli.str.A30.:1,VFG042436.gb.AAD44025.afaC.VII.AfaC.VII.usher.protein.Afimbrial.adhesin.AFA.VII.AI014.Escherichia.coli.str.239.KH.89.:1,VFG042443.gb.AAD44022.afaC.VIII.AfaC.VIII.usher.protein.Afimbrial.adhesin.AfaE.VIII.AI015.Escherichia.coli.str.239.KH.89.:1,VFG000353.gb.YP.002346330.psaC.outer.membrane.usher.protein.PsaC.Myf.pH6.antigen.VF0134.Yersinia.pestis.CO92.:1,VFG000419.gb.NP.395429.caf1A.putative.F1.capsule.anchoring.protein.F1.antigen.VF0138.Yersinia.pestis.CO92.:1,agg3C.1.AF411067:1,agg3C.2.TD000189-6:1,agg3C.3.ESBL-2014-0082:1,agg3C.4.SSI_AA782:1,agg3C.5.TD48-19:1,agg3C.6.55989:1,agg3C.7.SSI_AA797:1,agg3C.8.SSI_AA800:1,agg4C.1.AB255435:1,agg4C.3.EU637023:1,agg4C.4.SSI_AA805:1,aggC.1.U12894:1,aggC.2.AFRH01000026:1,aafC.1.AF114828:1
779 | cap | VFG001302.gb.NP.644944.cap8F.capsular.polysaccharide.synthesis.enzyme.Cap8F.Capsule.VF0003.Staphylococcus.aureus.subsp.aureus.MW2.:1,VFG001375.gb.NP.344892.cps4K.capsular.polysaccharide.biosynthesis.protein.Cps4K.Capsule.VF0144.Streptococcus.pneumoniae.TIGR4.:1,cap5F.1.CP001781.1:1,cap5F.2.CP000730.1:1,cap5F.3.CP002120.1:1,cap5F.4.CP003194.1:1,capF.1.AJ938182.1:1,capF.2.CP003808.1:1,capF.3.HE681097.1:1,capF.4.CP001996.1:1,capF.6.FR821777.2:1
415 | type_III_secretion | VFG002042.gb.NP.858359.ipaH9.8.type.III.secretion.system.effector.ipaH9.8.E3.ubiquitin.ligase.TTSS.VF0118.Shigella.flexneri.2a.str.301.:1,VFG012833.gb.NP.858398.ipaH1.4.type.III.secretion.system.effector.ipaH1.4.E3.ubiquitin.ligase.T3SS.SS011.Shigella.flexneri.2a.str.301.:1,ipaH9.8.1.CP000034:1,ipaH9.8.2.CP000036:1,ipaH9.8.3.CP000038:1,ipaH9.8.4.HE616528:1,ipaH9.8.5.CP000266:1,ipaH9.8.6.AE005674:1,ipaH9.8.7.CP001383:1,ipaH9.8.8.CP001063:1
276 | mchF | mchF.1.AF063590:1,mchF.3.CP003301:1,mchF.4.AE014075:1,mchF.5.AJ515252:1,mchF.6.AJ515251:1,mchF.7.AJ009631:1,mchF.9.AY237108:1,mchF.10.AY536378:1,mchF.11.JX077110:1,mchF.14.AY545598:1
47 | sdrC | sdrC.1.CP001781.1:1,sdrC.2.BA000018.3:1,sdrC.3.CP000255.1:1,sdrC.4.BX571856.1:1,sdrC.5.AP009351.1:1,sdrC.6.CP000046.1:1,sdrC.7.BA000033.2:1,sdrC.9.CP002114.2:1,sdrC.10.CP001996.1:1,sdrC.11.CP002110.1:1,sdrC.12.CP003194.1:1,sdrC.13.HE681097.1:1,sdrC.14.FN433596.1:1,sdrC.15.CP000253.1:1,sdrC.16.CP002643.1:1,sdrC.17.CP003166.1:1,sdrD.1.AP009351.1:1,sdrD.2.BA000018.3:1,sdrD.3.CP000255.1:1,sdrD.6.BA000033.2:1,sdrD.7.CP001781.1:1,sdrD.8.CP002114.2:1,sdrD.9.CP001996.1:1,sdrD.10.CP002110.1:1,sdrD.11.CP003194.1:1,sdrD.12.HE681097.1:1,sdrD.13.FN433596.1:1,sdrD.14.CP003808.1:1,sdrD.15.FR821779.1:1,sdrD.16.CP000253.1:1,sdrE.1.BA000018.3:1,sdrE.2.CP000255.1:1,sdrE.3.CP001781.1:1,sdrE.4.AP009351.1:1,sdrE.5.CP000046.1:1,sdrE.6.AP009324.1:1,sdrE.7.BA000033.2:1,sdrE.8.CP002114.2:1,sdrE.9.CP001996.1:1,sdrE.10.CP003194.1:1,sdrE.11.HE681097.1:1,sdrE.12.FN433596.1:1,sdrE.13.CP001844.2:1,sdrE.14.FR821779.1:1,sdrE.15.CP002120.1:1
1414 | SEnt(enterotoxin) | VFG000952.gb.NP.269185.spei.streptococcal.exotoxin.I.precursor.Spes.VF0248.Streptococcus.pyogenes.M1.GAS.:1,SEntG.3.BA000033.2:1,SEntI.1.BX571856.1:1,SEntI.3.BA000018.3:1,SEntI.4.AJ938182.1:1,SEntI.5.CP000046.1:1,SEntI.6.FR821777.2:1,SEntI.7.CP002110.1:1,SEntK.1.CP000255.1:1,SEntK.2.CP000046.1:1,SEntK.3.BA000033.2:1,SEntK.4.FN433596.1:1,SEntK.5.CP003166.1:1,SEntL.1.BA000018.3:1,SEntL.4.BA000033.2:1,SEntL.5.CP003166.1:1,SEntL.6.CP001996.1:1,SEntM.2.BA000018.3:1,SEntQ.1.CP000255.1:1,SEntQ.2.FN433596.1:1,SEntQ.3.CP002643.1:1,SEnt.8.FR821777.2:1,SEnt.11.HE681097.1:1,sek.4.GQ358928.1:1
526 | vwb | VFG002418.gb.YP.001331791.vWbp.secreted.von.Willebrand.factor.binding.protein.precursor.vWbp.VF0420.Staphylococcus.aureus.subsp.aureus.str.Newman.:1,vwb.1.BA000017.4:1,vwb.2.CP000730.1:1,vwb.3.CP000736.1:1,vwb.4.BA000033.2:1,vwb.5.CP001781.1:1,vwb.6.AJ938182.1:1,vwb.8.CP003166.1:1,vwb.10.AM990992.1:1,vwb.11.AM990992.1:1,vwb.12.CP001996.1:1,vwb.13.CP002110.1:1,coa.11.CP002478.1:1
620 | gad | gad.1.CU928158:1,gad.2.CU928158:1,gad.3.EF547388:1,gad.4.CP001925:1,gad.7.EF547382:1,gad.8.CP000266:1,gad.9.AE005674:1,gad.11.EF547385:1,gad.12.CP000036:1,gad.16.FN649414:1,gad.19.EF547383:1,gad.21.CU928163:1,gad.23.CP000970:1,gad.24.CP003034:1,gad.25.CP000802:1,gad.26.CP004009:1,gad.32.EF551357:1,gad.33.EF551358:1,gad.35.EF551359:1,gad.36.EF551360:1,gad.40.CP001063:1,gad.43.CP000034:1,gad.45.EF551355:1,gad.46.CU928163:1,gad.47.FN554766:1,gad.49.CP000038:1,gad.51.CP000266:1,gad.52.CP003034:1,gad.56.CP000247:1,gad.58.CU928162:1,gad.59.EF547386:1,gad.63.CP001855:1,gad.65.CU928162:1,gad.70.EF551351:1
2137 | stx | stx1B.4.AB048237.c:1,stx1B.5.GQ429160:1,stx1B.6.AB048235.c:1,stx1B.8.AB071622.c:1,stx1B.9.AB071624.c:1,stx2B.1.FN252458:1,stx2B.2.EF584538.d:1,stx2B.3.JX206445:1,stx2B.9.JN193429:1,stx2B.10.EF441604.c:1,stx2B.16.AM904726.e:1,stx2B.17.AY633472.a:1,stx2B.18.EF441618.a:1,stx2B.20.JN193428:1,stx2B.21.AB028900.a:1,stx2B.22.AB028904.a:1,stx2B.23.AF461171.a:1,stx2B.24.AF461173.a:1,stx2B.25.EF441599.a:1,stx2B.26.EF441609.a:1,stx2B.28.AY443054.a:1,stx2B.32.FM998856.a:1,stx2B.33.AJ271063.c:1,stx2B.34.AJ272135.a:1,stx2B.36.DQ059012.d:1,stx2B.37.AF500187.d:1,stx2B.38.AF500188.d:1
494 | spa | VFG001313.gb.NP.644899.spa.Immunoglobulin.G.binding.protein.A.precursor.SpA.VF0017.Staphylococcus.aureus.subsp.aureus.MW2.:1,spa.1.BA000018.3:1,spa.2.CP000730.1:1,spa.3.BX571856.1:1,spa.4.BA000033.2:1,spa.5.AP009351.1:1,spa.6.CP001844.2:1,spa.7.FR821779.1:1,spa.8.CP001996.1:1,spa.9.FN433596.1:1,spa.10.CP003194.1:1,spa.13.CP001781.1:1,spa.14.AJ938182.1:1,spa.15.AM990992.1:1,spa.17.CP002120.1:1,spa.18.CP002114.2:1
1248 | ica | VFG001287.gb.NP.647405.icaB.N.deacetylase.involved.in.polysaccharide.intercellular.adhesin.PIA.synthesis.Intercellular.adhesion.proteins.VF0014.Staphylococcus.aureus.subsp.aureus.MW2.:1,icaB.1.BA000018.3:1,icaB.2.BX571856.1:1,icaB.4.CP000736.1:1,icaB.5.CP000046.1:1,icaB.6.AJ938182.1:1,icaB.7.FR821779.1:1,icaB.8.FN433596.1:1,icaB.9.AM990992.1:1,icaB.10.FR821777.2:1,icaB.11.HE681097.1:1
524 | aur | aur.2.CP011147.1:1,aur.3.BA000033.2:1,aur.4.AJ938182.1:1,aur.5.AP014942.1:1,aur.6.FR821779.1:1,aur.7.CP002114.2:1,aur.9.AP014653.1:1,aur.10.CP006630.1:1,aur.11.CP006706.1:1,aur.12.HE681097.1:1,aur.13.CP003808.1:1,aur.14.CP009554.1:1,aur.15.CP009681.1:1
1329 | cma | cma.1.FJ664772:1,cma.2.FJ664741:1,cma.3.FJ664746:1,cma.4.FJ664725:1,cma.6.FJ664745:1,cma.9.CP000971:1,cma.10.FJ664756:1,cma.11.FJ664758:1,cma.12.FJ664752:1,cma.13.FJ664733:1,cma.14.FJ664726:1,cma.17.FJ664744:1,cma.19.FJ664773:1
1336 | cdt | VFG001933.gb.NP.281291.cdtB.cytolethal.distending.toxin.B.CDT.VF0115.Campylobacter.jejuni.subsp.jejuni.NCTC.11168.:1,VFG020318.gb.NP.456275.cdtB.cytolethal.distending.toxin.B.CdtB.VF0407.Salmonella.enterica.subsp.enterica.serovar.Typhi.str.CT18.:1,cdtB.1.AJ508930:1,cdtB.4.AY365045:1,cdtB.8.JF297618:1,cdtB.9.AB583184:1,cdtB.10.AB583185:1,cdtB.11.AY696755:1,cdtB.13.U04208:1,cdtB.14.AB472834:1
123 | ehxA | VFG000906.gb.NP.755445.hlyA.Hemolysin.A.Hemolysin.VF0225.Escherichia.coli.CFT073.:1,ehxA.1.EF204927:1,ehxA.2.EF204928:1,ehxA.3.AB011549:1,ehxA.4.X94129:1,ehxA.5.FJ386569:1,ehxA.6.AP010959:1,ehxA.7.HM138194:1,ehxA.8.AY258503:1,ehxA.9.AF043471:1,ehxA.10.EF204922:1,ehxA.11.EF204925:1,ehxA.12.EF204923:1
1544 | SEnt(enterotoxin) | SEnt-like.2.CP003194.1:1,SEnt-like.3.CP002643.1:1,SEnt-like.7.CP002643.1:1,set1.1.BX571856.1:1,set1.4.HE681097.1:1,set1.6.AM990992.1:1,set1.7.FR821777.2:1,set1.8.CP003166.1:1,set2.1.AJ938182.1:1,set3.10.AJ938182.1:1,set4.1.BX571856.1:1,set4.4.CP002110.1:1,set4.5.FR821779.1:1,set4.8.FR821777.2:1,set4.9.CP003166.1:1,set4.10.AM990992.1:1,set5.1.HE681097.1:1,set5.3.FR821779.1:1,set5.8.CP003194.1:1,set5.9.CP003045.1:1,set11.1.BA000018.3:1,set11.3.CP002120.1:1,set11.4.CP002114.2:1,set13.1.BA000018.3:1,set13.4.CP003166.1:1,set22.1.BA000033.2:1,set25.1.BA000033.2:1
65 | esp | VFG000902.gb.NP.755494.sat.Aecreted.auto.transpoter.toxin.Sat.VF0231.Escherichia.coli.CFT073.:1,espC.1.AF297061:1,espC.2.U69128:1,espC.3.FM180568:1,espP.1.HM138194:1,espP.2.AY258503:1,pet.1.AF056581:1,sat.1.CP003034:1,sat.4.JX050263:1,sat.5.CU928163:1,sigA.1.CP000038:1,sigA.2.AE005674:1
284 | geh | geh.1.BA000018.3:1,geh.2.BX571856.1:1,geh.3.BA000033.2:1,geh.4.AP009351.1:1,geh.5.AJ938182.1:1,geh.6.FR821779.1:1,geh.7.HE681097.1:1,geh.9.AM990992.1:1,geh.10.AM990992.1:1,geh.11.CP003033.1:1,lip.1.BA000018.3:1,lip.2.BX571856.1:1,lip.3.BA000033.2:1,lip.5.AJ938182.1:1,lip.6.CP002114.2:1,lip.7.CP002120.1:1,lip.8.FR821779.1:1,lip.9.CP003194.1:1,lip.11.HE681097.1:1
48 | essC | essC.1.CP000730.1:1,essC.2.FR821779.1:1,essC.3.FN433596.1:1,essC.4.CP003194.1:1,essC.5.CP001996.1:1,essC.6.CP003808.1:1,essC.7.CP002110.1:1,essC.8.BA000018.3:1,essC.9.FR821777.2:1,essC.11.CP003166.1:1,essC.12.BA000033.2:1,essC.13.AJ938182.1:1,essC.15.CP003045.1:1,essC.16.HE681097.1:1
111 | fnbA | VFG001282.gb.NP.647237.fnbB.fibronectin.binding.protein.B.FnBPs.VF0010.Staphylococcus.aureus.subsp.aureus.MW2.:1,VFG001283.gb.NP.647238.fnbA.fibronectin.binding.protein.A.FnBPs.VF0010.Staphylococcus.aureus.subsp.aureus.MW2.:1,fnbA.1.CP000255.1:1,fnbA.2.BX571856.1:1,fnbA.3.AJ938182.1:1,fnbA.4.CP001781.1:1,fnbA.5.AP009351.1:1,fnbA.6.FR821779.1:1,fnbA.7.CP002114.2:1,fnbA.8.HE681097.1:1,fnbA.9.CP001996.1:1,fnbA.10.CP002110.1:1,fnbA.11.AP009324.1:1,fnbB.1.CP000046.1:1,fnbB.2.BA000018.3:1,fnbB.3.BX571857.1:1,fnbB.4.CP001781.1:1,fnbB.6.FR821779.1:1,fnbB.7.FR821777.2:1,fnbB.8.BA000033.2:1,fnbB.10.CP003166.1:1,fnbB.12.AM990992.1:1
147 | clfB | VFG001290.gb.NP.647368.clfB.Clumping.factor.B.adhesin.Clumping.factor.VF0004.Staphylococcus.aureus.subsp.aureus.MW2.:1,clfB.1.AP009351.1:1,clfB.4.BA000033.2:1,clfB.6.BX571856.1:1,clfB.7.AJ938182.1:1,clfB.8.CP001996.1:1,clfB.9.CP003194.1:1,clfB.10.CP002114.2:1,clfB.11.CP002120.1:1,clfB.12.HE681097.1:1,clfB.16.CP003166.1:1,clfB.17.CP003033.1:1,clfB.18.AM990992.1:1,clfB.19.CP003045.1:1
1274 | K88ab | VFG042555.gb.YP.002295988.faeG.fimbrial.protein.FaeG.K88.pili.F4.fimbriae.AI040.Escherichia.coli.SE11.:1,K88ab.1.CP002968:1,K88ab.2.M29376:1,K88ab.3.M29374:1,K88ab.4.U19784:1,K88ab.5.AJ616256:1,K88ab.7.AJ616239:1,K88ab.8.EU570252:1,K88ab.9.M25302:1,K88ab.10.AJ616236:1
15 | hlb | ACME.3.AB687558.1:1,ACME.4.FR753166.1:1,ACME.7.KF175393.1:1,hlb.11.BA000018.3:1,hlb.12.AP009324.1:1,hlb.14.CP007447.1:1,hlb.15.AP014942.1:1,hlb.16.AP014653.1:1,hlb.17.CP000253.1:1,hlb.18.CP002114.2:1,hlb.19.CP002388.1:1
270 | coa | VFG002419.gb.NP.645021.coa.staphylocoagulase.precursor.Staphylocoagulase.VF0421.Staphylococcus.aureus.subsp.aureus.MW2.:1,coa.2.AP009351.1:1,coa.3.CP000255.1:1,coa.4.CP002114.2:1,coa.5.CP002114.2:1,coa.6.CP003194.1:1,coa.7.CP001996.1:1,coa.8.CP003808.1:1,coa.10.FR821779.1:1,coa.12.AM990992.1:1
1805 | aag | aggA.1.AFRH01000026:1,aggA.2.Y18149:1,aggA.3.SSI_AA801:1,aggA.4.SSI_AA788:1,aggA.5.U12894:1,aggA.6.TD000209-18:1,aggA.7.SSI_AA792:1,aggA.8.SSI_AA802:1,aggA.9.AY344586:1,aggA.10.SSI_AA804:1
335 | cap | cap5D.1.CP001781.1:1,cap5D.3.CP000730.1:1,cap5D.5.BX571856.1:1,capD.2.AP009351.1:1,capD.3.AJ938182.1:1,capD.4.CP002110.1:1,capD.6.FR821779.1:1,capD.7.CP003808.1:1,capD.8.FN433596.1:1,capD.9.HE681097.1:1,cap8D.1.BA000033.2:1,cap8D.3.CP003166.1:1
1921 | aaf | VFG000854.gb.AAD27809.aafB.invasin.homolog.AafB.AAFs.VF0214.Escherichia.coli.str.042.:1,VFG000945.gb.AAK16478.draD.DraD.periplasmic.protein.Dr.adhesins.VF0223.Escherichia.coli.O75.K5.H.str.IH11128.:1,VFG042426.gb.CAW30800.afaD.AfaD.Afimbrial.adhesin.AFA.I.mannose.resistant.adhesin.AI010.Escherichia.coli.O25b.H4.str.FV9863.:1,VFG042437.gb.AAD44026.afaD.VII.AfaD.VII.Afimbrial.adhesin.AFA.VII.AI014.Escherichia.coli.str.239.KH.89.:1,VFG042444.gb.AAD44023.afaD.VIII.AfaD.VIII.Afimbrial.adhesin.AfaE.VIII.AI015.Escherichia.coli.str.239.KH.89.:1,VFG042450.gb.AAG10405.daaD.DaaD.precursor.F1845.fimbrial.adhesin.AI016.Escherichia.coli.str.C1845.:1,agg3B.1.AF411067:1,aggB.1.U12894:1,aggB.2.AFRH01000026:1,aafB.1.FN554767:1
57 | serine_protease_autotransporters | VFG000861.gb.YP.006098864.pic.Pic.serine.protease.precursor.autotransporter.Pic.VF0218.Escherichia.coli.O44.H18.042.:1,VFG000903.gb.NP.752289.pic.serine.protease.precursor.Pic.VF0232.Escherichia.coli.CFT073.:1,eatA.1.CP000799:1,eatA.2.CR942285:1,eatA.3.AY163491:1,epeA.1.AY258503:1,espI.1.AJ278144:1,espI.2.AP010958:1,pic.1.AE014075:1,pic.2.CP003289:1,pic.3.U35656:1,pic.4.AF097644:1,pic.5.CU928145:1,sepA.1.Z48219:1,sepA.2.AY604009:1,sepA.3.AF348706:1,sepA.4.CP001384:1,sepA.5.AF386526:1,sepA.6.CP003299:1,sepA.7.AB255435:1,tsh.1.AF218073:1,tsh.2.AY545598:1,tsh.3.EU330199:1,vat.1.X16664:1,vat.2.AY151282:1,vat.3.CU928161:1,vat.4.CP001969:1,vat.5.CP001671:1
75 | atl | atl.1.BX571856.1:1,atl.2.BA000018.3:1,atl.3.CP000730.1:1,atl.4.BA000033.2:1,atl.5.CP000046.1:1,atl.6.AJ938182.1:1,atl.8.AP009351.1:1,atl.8.CP002120.1:1,atl.9.CP002114.2:1,atl.10.CP003194.1:1,atl.11.HE681097.1:1,atl.12.FR821779.1:1,atl.14.CP003166.1:1,atl.15.AM990992.1:1
